Cod_Municipio;Desc_Municipio;Cod_Estado;Cod_Regiao
110000.0;;11;1
110001.0;Alta Floresta D'Oeste;11;1
110002.0;Ariquemes;11;1
110003.0;Cabixi;11;1
110004.0;Cacoal;11;1
110005.0;Cerejeiras;11;1
110006.0;Colorado do Oeste;11;1
110007.0;Corumbiara;11;1
110008.0;Costa Marques;11;1
110009.0;Espigão D'Oeste;11;1
110010.0;Guajará-Mirim;11;1
110011.0;Jaru;11;1
110012.0;Ji-Paraná;11;1
110013.0;Machadinho D'Oeste;11;1
110014.0;Nova Brasilândia D'Oeste;11;1
110015.0;Ouro Preto do Oeste;11;1
110018.0;Pimenta Bueno;11;1
110020.0;Porto Velho;11;1
110025.0;Presidente Médici;11;1
110026.0;Rio Crespo;11;1
110028.0;Rolim de Moura;11;1
110029.0;Santa Luzia D'Oeste;11;1
110030.0;Vilhena;11;1
110032.0;São Miguel do Guaporé;11;1
110033.0;Nova Mamoré;11;1
110034.0;Alvorada D'Oeste;11;1
110037.0;Alto Alegre dos Parecis;11;1
110040.0;Alto Paraíso;11;1
110045.0;Buritis;11;1
110050.0;Novo Horizonte do Oeste;11;1
110060.0;Cacaulândia;11;1
110070.0;Campo Novo de Rondônia;11;1
110080.0;Candeias do Jamari;11;1
110090.0;Castanheiras;11;1
110092.0;Chupinguaia;11;1
110094.0;Cujubim;11;1
110100.0;Governador Jorge Teixeira;11;1
110110.0;Itapuã do Oeste;11;1
110120.0;Ministro Andreazza;11;1
110130.0;Mirante da Serra;11;1
110140.0;Monte Negro;11;1
110143.0;Nova União;11;1
110145.0;Parecis;11;1
110146.0;Pimenteiras do Oeste;11;1
110147.0;Primavera de Rondônia;11;1
110148.0;São Felipe D'Oeste;11;1
110149.0;São Francisco do Guaporé;11;1
110150.0;Seringueiras;11;1
110155.0;Teixeirópolis;11;1
110160.0;Theobroma;11;1
110170.0;Urupá;11;1
110175.0;Vale do Anari;11;1
110180.0;Vale do Paraíso;11;1
120001.0;Acrelândia;12;1
120005.0;Assis Brasil;12;1
120010.0;Brasiléia;12;1
120013.0;Bujari;12;1
120017.0;Capixaba;12;1
120020.0;Cruzeiro do Sul;12;1
120025.0;Epitaciolândia;12;1
120030.0;Feijó;12;1
120032.0;Jordão;12;1
120033.0;Mâncio Lima;12;1
120034.0;Manoel Urbano;12;1
120035.0;Marechal Thaumaturgo;12;1
120038.0;Plácido de Castro;12;1
120039.0;Porto Walter;12;1
120040.0;Rio Branco;12;1
120042.0;Rodrigues Alves;12;1
120043.0;Santa Rosa do Purus;12;1
120045.0;Senador Guiomard;12;1
120050.0;Sena Madureira;12;1
120060.0;Tarauacá;12;1
120070.0;Xapuri;12;1
120080.0;Porto Acre;12;1
130002.0;Alvarães;13;1
130006.0;Amaturá;13;1
130008.0;Anamã;13;1
130010.0;Anori;13;1
130014.0;Apuí;13;1
130020.0;Atalaia do Norte;13;1
130030.0;Autazes;13;1
130040.0;Barcelos;13;1
130050.0;Barreirinha;13;1
130060.0;Benjamin Constant;13;1
130063.0;Beruri;13;1
130068.0;Boa Vista do Ramos;13;1
130070.0;Boca do Acre;13;1
130080.0;Borba;13;1
130083.0;Caapiranga;13;1
130090.0;Canutama;13;1
130100.0;Carauari;13;1
130110.0;Careiro;13;1
130115.0;Careiro da Várzea;13;1
130120.0;Coari;13;1
130130.0;Codajás;13;1
130140.0;Eirunepé;13;1
130150.0;Envira;13;1
130160.0;Fonte Boa;13;1
130165.0;Guajará;13;1
130170.0;Humaitá;13;1
130180.0;Ipixuna;13;1
130185.0;Iranduba;13;1
130190.0;Itacoatiara;13;1
130195.0;Itamarati;13;1
130200.0;Itapiranga;13;1
130210.0;Japurá;13;1
130220.0;Juruá;13;1
130230.0;Jutaí;13;1
130240.0;Lábrea;13;1
130250.0;Manacapuru;13;1
130255.0;Manaquiri;13;1
130260.0;Manaus;13;1
130270.0;Manicoré;13;1
130280.0;Maraã;13;1
130290.0;Maués;13;1
130300.0;Nhamundá;13;1
130310.0;Nova Olinda do Norte;13;1
130320.0;Novo Airão;13;1
130330.0;Novo Aripuanã;13;1
130340.0;Parintins;13;1
130350.0;Pauini;13;1
130353.0;Presidente Figueiredo;13;1
130356.0;Rio Preto da Eva;13;1
130360.0;Santa Isabel do Rio Negro;13;1
130370.0;Santo Antônio do Içá;13;1
130380.0;São Gabriel da Cachoeira;13;1
130390.0;São Paulo de Olivença;13;1
130395.0;São Sebastião do Uatumã;13;1
130400.0;Silves;13;1
130406.0;Tabatinga;13;1
130410.0;Tapauá;13;1
130420.0;Tefé;13;1
130423.0;Tonantins;13;1
130426.0;Uarini;13;1
130430.0;Urucará;13;1
130440.0;Urucurituba;13;1
140000.0;;14;1
140002.0;Amajari;14;1
140005.0;Alto Alegre;14;1
140010.0;Boa Vista;14;1
140015.0;Bonfim;14;1
140017.0;Cantá;14;1
140020.0;Caracaraí;14;1
140023.0;Caroebe;14;1
140028.0;Iracema;14;1
140030.0;Mucajaí;14;1
140040.0;Normandia;14;1
140045.0;Pacaraima;14;1
