,regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana,Cod_Data,codregiao
4266,Centro-Oeste,DF,,53,,,,2020-02-25,9,3015268.0,0,0,0,0,,,,20200225,5
4267,Centro-Oeste,DF,,53,,,,2020-02-26,9,3015268.0,0,0,0,0,,,,20200226,5
4268,Centro-Oeste,DF,,53,,,,2020-02-27,9,3015268.0,0,0,0,0,,,,20200227,5
4269,Centro-Oeste,DF,,53,,,,2020-02-28,9,3015268.0,0,0,0,0,,,,20200228,5
4270,Centro-Oeste,DF,,53,,,,2020-02-29,9,3015268.0,0,0,0,0,,,,20200229,5
4271,Centro-Oeste,DF,,53,,,,2020-03-01,10,3015268.0,0,0,0,0,,,,20200301,5
4272,Centro-Oeste,DF,,53,,,,2020-03-02,10,3015268.0,0,0,0,0,,,,20200302,5
4273,Centro-Oeste,DF,,53,,,,2020-03-03,10,3015268.0,0,0,0,0,,,,20200303,5
4274,Centro-Oeste,DF,,53,,,,2020-03-04,10,3015268.0,0,0,0,0,,,,20200304,5
4275,Centro-Oeste,DF,,53,,,,2020-03-05,10,3015268.0,0,0,0,0,,,,20200305,5
4276,Centro-Oeste,DF,,53,,,,2020-03-06,10,3015268.0,0,0,0,0,,,,20200306,5
4277,Centro-Oeste,DF,,53,,,,2020-03-07,10,3015268.0,1,1,0,0,,,,20200307,5
4278,Centro-Oeste,DF,,53,,,,2020-03-08,11,3015268.0,1,0,0,0,,,,20200308,5
4279,Centro-Oeste,DF,,53,,,,2020-03-09,11,3015268.0,1,0,0,0,,,,20200309,5
4280,Centro-Oeste,DF,,53,,,,2020-03-10,11,3015268.0,1,0,0,0,,,,20200310,5
4281,Centro-Oeste,DF,,53,,,,2020-03-11,11,3015268.0,2,1,0,0,,,,20200311,5
4282,Centro-Oeste,DF,,53,,,,2020-03-12,11,3015268.0,2,0,0,0,,,,20200312,5
4283,Centro-Oeste,DF,,53,,,,2020-03-13,11,3015268.0,2,0,0,0,,,,20200313,5
4284,Centro-Oeste,DF,,53,,,,2020-03-14,11,3015268.0,6,4,0,0,,,,20200314,5
4285,Centro-Oeste,DF,,53,,,,2020-03-15,12,3015268.0,8,2,0,0,,,,20200315,5
4286,Centro-Oeste,DF,,53,,,,2020-03-16,12,3015268.0,13,5,0,0,,,,20200316,5
4287,Centro-Oeste,DF,,53,,,,2020-03-17,12,3015268.0,22,9,0,0,,,,20200317,5
4288,Centro-Oeste,DF,,53,,,,2020-03-18,12,3015268.0,26,4,0,0,,,,20200318,5
4289,Centro-Oeste,DF,,53,,,,2020-03-19,12,3015268.0,42,16,0,0,,,,20200319,5
4290,Centro-Oeste,DF,,53,,,,2020-03-20,12,3015268.0,87,45,0,0,,,,20200320,5
4291,Centro-Oeste,DF,,53,,,,2020-03-21,12,3015268.0,100,13,0,0,,,,20200321,5
4292,Centro-Oeste,DF,,53,,,,2020-03-22,13,3015268.0,117,17,0,0,,,,20200322,5
4293,Centro-Oeste,DF,,53,,,,2020-03-23,13,3015268.0,133,16,0,0,,,,20200323,5
4294,Centro-Oeste,DF,,53,,,,2020-03-24,13,3015268.0,160,27,0,0,,,,20200324,5
4295,Centro-Oeste,DF,,53,,,,2020-03-25,13,3015268.0,160,0,0,0,,,,20200325,5
4296,Centro-Oeste,DF,,53,,,,2020-03-26,13,3015268.0,200,40,0,0,,,,20200326,5
4297,Centro-Oeste,DF,,53,,,,2020-03-27,13,3015268.0,230,30,0,0,,,,20200327,5
4298,Centro-Oeste,DF,,53,,,,2020-03-28,13,3015268.0,260,30,0,0,,,,20200328,5
4299,Centro-Oeste,DF,,53,,,,2020-03-29,14,3015268.0,289,29,1,1,,,,20200329,5
4300,Centro-Oeste,DF,,53,,,,2020-03-30,14,3015268.0,312,23,1,0,,,,20200330,5
4301,Centro-Oeste,DF,,53,,,,2020-03-31,14,3015268.0,332,20,3,2,,,,20200331,5
4302,Centro-Oeste,DF,,53,,,,2020-04-01,14,3015268.0,355,23,3,0,,,,20200401,5
4303,Centro-Oeste,DF,,53,,,,2020-04-02,14,3015268.0,370,15,4,1,,,,20200402,5
4304,Centro-Oeste,DF,,53,,,,2020-04-03,14,3015268.0,402,32,5,1,,,,20200403,5
4305,Centro-Oeste,DF,,53,,,,2020-04-04,14,3015268.0,454,52,7,2,,,,20200404,5
4306,Centro-Oeste,DF,,53,,,,2020-04-05,15,3015268.0,468,14,7,0,,,,20200405,5
4307,Centro-Oeste,DF,,53,,,,2020-04-06,15,3015268.0,473,5,10,3,,,,20200406,5
4308,Centro-Oeste,DF,,53,,,,2020-04-07,15,3015268.0,492,19,12,2,,,,20200407,5
4309,Centro-Oeste,DF,,53,,,,2020-04-08,15,3015268.0,509,17,12,0,,,,20200408,5
4310,Centro-Oeste,DF,,53,,,,2020-04-09,15,3015268.0,527,18,13,1,,,,20200409,5
4311,Centro-Oeste,DF,,53,,,,2020-04-10,15,3015268.0,555,28,14,1,,,,20200410,5
4312,Centro-Oeste,DF,,53,,,,2020-04-11,15,3015268.0,579,24,14,0,,,,20200411,5
4313,Centro-Oeste,DF,,53,,,,2020-04-12,16,3015268.0,614,35,14,0,,,,20200412,5
4314,Centro-Oeste,DF,,53,,,,2020-04-13,16,3015268.0,638,24,15,1,,,,20200413,5
4315,Centro-Oeste,DF,,53,,,,2020-04-14,16,3015268.0,651,13,17,2,,,,20200414,5
4316,Centro-Oeste,DF,,53,,,,2020-04-15,16,3015268.0,682,31,17,0,,,,20200415,5
4317,Centro-Oeste,DF,,53,,,,2020-04-16,16,3015268.0,716,34,20,3,,,,20200416,5
4318,Centro-Oeste,DF,,53,,,,2020-04-17,16,3015268.0,746,30,20,0,,,,20200417,5
4319,Centro-Oeste,DF,,53,,,,2020-04-18,16,3015268.0,762,16,24,4,,,,20200418,5
4320,Centro-Oeste,DF,,53,,,,2020-04-19,17,3015268.0,827,65,24,0,,,,20200419,5
4321,Centro-Oeste,DF,,53,,,,2020-04-20,17,3015268.0,872,45,24,0,,,,20200420,5
4322,Centro-Oeste,DF,,53,,,,2020-04-21,17,3015268.0,881,9,24,0,,,,20200421,5
4323,Centro-Oeste,DF,,53,,,,2020-04-22,17,3015268.0,946,65,25,1,,,,20200422,5
4324,Centro-Oeste,DF,,53,,,,2020-04-23,17,3015268.0,963,17,25,0,,,,20200423,5
4325,Centro-Oeste,DF,,53,,,,2020-04-24,17,3015268.0,989,26,26,1,,,,20200424,5
4326,Centro-Oeste,DF,,53,,,,2020-04-25,17,3015268.0,1013,24,26,0,,,,20200425,5
4327,Centro-Oeste,DF,,53,,,,2020-04-26,18,3015268.0,1066,53,27,1,,,,20200426,5
4328,Centro-Oeste,DF,,53,,,,2020-04-27,18,3015268.0,1146,80,27,0,,,,20200427,5
4329,Centro-Oeste,DF,,53,,,,2020-04-28,18,3015268.0,1213,67,28,1,,,,20200428,5
4330,Centro-Oeste,DF,,53,,,,2020-04-29,18,3015268.0,1275,62,28,0,,,,20200429,5
4331,Centro-Oeste,DF,,53,,,,2020-04-30,18,3015268.0,1356,81,30,2,,,,20200430,5
4332,Centro-Oeste,DF,,53,,,,2020-05-01,18,3015268.0,1466,110,30,0,,,,20200501,5
4333,Centro-Oeste,DF,,53,,,,2020-05-02,18,3015268.0,1566,100,31,1,,,,20200502,5
4334,Centro-Oeste,DF,,53,,,,2020-05-03,19,3015268.0,1649,83,33,2,,,,20200503,5
4335,Centro-Oeste,DF,,53,,,,2020-05-04,19,3015268.0,1768,119,33,0,,,,20200504,5
4336,Centro-Oeste,DF,,53,,,,2020-05-05,19,3015268.0,1818,50,33,0,,,,20200505,5
4337,Centro-Oeste,DF,,53,,,,2020-05-06,19,3015268.0,1906,88,34,1,,,,20200506,5
4338,Centro-Oeste,DF,,53,,,,2020-05-07,19,3015268.0,2258,352,35,1,,,,20200507,5
4339,Centro-Oeste,DF,,53,,,,2020-05-08,19,3015268.0,2442,184,37,2,,,,20200508,5
4340,Centro-Oeste,DF,,53,,,,2020-05-09,19,3015268.0,2576,134,39,2,,,,20200509,5
4341,Centro-Oeste,DF,,53,,,,2020-05-10,20,3015268.0,2682,106,42,3,,,,20200510,5
4342,Centro-Oeste,DF,,53,,,,2020-05-11,20,3015268.0,2783,101,44,2,,,,20200511,5
4343,Centro-Oeste,DF,,53,,,,2020-05-12,20,3015268.0,2979,196,46,2,,,,20200512,5
4344,Centro-Oeste,DF,,53,,,,2020-05-13,20,3015268.0,3192,213,48,2,,,,20200513,5
4345,Centro-Oeste,DF,,53,,,,2020-05-14,20,3015268.0,3416,224,51,3,,,,20200514,5
4346,Centro-Oeste,DF,,53,,,,2020-05-15,20,3015268.0,3787,371,55,4,,,,20200515,5
4347,Centro-Oeste,DF,,53,,,,2020-05-16,20,3015268.0,4140,353,56,1,,,,20200516,5
4348,Centro-Oeste,DF,,53,,,,2020-05-17,21,3015268.0,4368,228,59,3,,,,20200517,5
4349,Centro-Oeste,DF,,53,,,,2020-05-18,21,3015268.0,4619,251,66,7,,,,20200518,5
4350,Centro-Oeste,DF,,53,,,,2020-05-19,21,3015268.0,4853,234,72,6,,,,20200519,5
4351,Centro-Oeste,DF,,53,,,,2020-05-20,21,3015268.0,5161,308,77,5,,,,20200520,5
4352,Centro-Oeste,DF,,53,,,,2020-05-21,21,3015268.0,5542,381,84,7,,,,20200521,5
4353,Centro-Oeste,DF,,53,,,,2020-05-22,21,3015268.0,5948,406,90,6,,,,20200522,5
4354,Centro-Oeste,DF,,53,,,,2020-05-23,21,3015268.0,6251,303,95,5,,,,20200523,5
4355,Centro-Oeste,DF,,53,,,,2020-05-24,22,3015268.0,6638,387,104,9,,,,20200524,5
4356,Centro-Oeste,DF,,53,,,,2020-05-25,22,3015268.0,6930,292,114,10,,,,20200525,5
4357,Centro-Oeste,DF,,53,,,,2020-05-26,22,3015268.0,7210,280,124,10,,,,20200526,5
4358,Centro-Oeste,DF,,53,,,,2020-05-27,22,3015268.0,7761,551,133,9,,,,20200527,5
4359,Centro-Oeste,DF,,53,,,,2020-05-28,22,3015268.0,8300,539,142,9,,,,20200528,5
4360,Centro-Oeste,DF,,53,,,,2020-05-29,22,3015268.0,8722,422,154,12,,,,20200529,5
4361,Centro-Oeste,DF,,53,,,,2020-05-30,22,3015268.0,9474,752,162,8,,,,20200530,5
4362,Centro-Oeste,DF,,53,,,,2020-05-31,23,3015268.0,9780,306,170,8,,,,20200531,5
4363,Centro-Oeste,DF,,53,,,,2020-06-01,23,3015268.0,10510,730,171,1,,,,20200601,5
4364,Centro-Oeste,DF,,53,,,,2020-06-02,23,3015268.0,11256,746,177,6,,,,20200602,5
4365,Centro-Oeste,DF,,53,,,,2020-06-03,23,3015268.0,12020,764,191,14,,,,20200603,5
4366,Centro-Oeste,DF,,53,,,,2020-06-04,23,3015268.0,12923,903,196,5,,,,20200604,5
4367,Centro-Oeste,DF,,53,,,,2020-06-05,23,3015268.0,14208,1285,202,6,,,,20200605,5
4368,Centro-Oeste,DF,,53,,,,2020-06-06,23,3015268.0,15850,1642,208,6,,,,20200606,5
4369,Centro-Oeste,DF,,53,,,,2020-06-07,24,3015268.0,16623,773,214,6,,,,20200607,5
4370,Centro-Oeste,DF,,53,,,,2020-06-08,24,3015268.0,16629,6,214,0,,,,20200608,5
4371,Centro-Oeste,DF,,53,,,,2020-06-09,24,3015268.0,18090,1461,236,22,,,,20200609,5
4372,Centro-Oeste,DF,,53,,,,2020-06-10,24,3015268.0,19433,1343,256,20,,,,20200610,5
4373,Centro-Oeste,DF,,53,,,,2020-06-11,24,3015268.0,20507,1074,274,18,,,,20200611,5
4374,Centro-Oeste,DF,,53,,,,2020-06-12,24,3015268.0,21396,889,282,8,,,,20200612,5
4375,Centro-Oeste,DF,,53,,,,2020-06-13,24,3015268.0,21959,563,293,11,,,,20200613,5
4376,Centro-Oeste,DF,,53,,,,2020-06-14,25,3015268.0,22871,912,304,11,,,,20200614,5
4377,Centro-Oeste,DF,,53,,,,2020-06-15,25,3015268.0,23684,813,319,15,,,,20200615,5
4378,Centro-Oeste,DF,,53,,,,2020-06-16,25,3015268.0,25380,1696,348,29,,,,20200616,5
4379,Centro-Oeste,DF,,53,,,,2020-06-17,25,3015268.0,27140,1760,365,17,,,,20200617,5
4380,Centro-Oeste,DF,,53,,,,2020-06-18,25,3015268.0,28521,1381,379,14,,,,20200618,5
4381,Centro-Oeste,DF,,53,,,,2020-06-19,25,3015268.0,30902,2381,396,17,,,,20200619,5
4382,Centro-Oeste,DF,,53,,,,2020-06-20,25,3015268.0,32238,1336,404,8,,,,20200620,5
4383,Centro-Oeste,DF,,53,,,,2020-06-21,26,3015268.0,33227,989,423,19,,,,20200621,5
4384,Centro-Oeste,DF,,53,,,,2020-06-22,26,3015268.0,34148,921,449,26,,,,20200622,5
4385,Centro-Oeste,DF,,53,,,,2020-06-23,26,3015268.0,35368,1220,475,26,,,,20200623,5
4386,Centro-Oeste,DF,,53,,,,2020-06-24,26,3015268.0,37254,1886,495,20,,,,20200624,5
4387,Centro-Oeste,DF,,53,,,,2020-06-25,26,3015268.0,38871,1617,509,14,,,,20200625,5
4388,Centro-Oeste,DF,,53,,,,2020-06-26,26,3015268.0,41326,2455,532,23,,,,20200626,5
4389,Centro-Oeste,DF,,53,,,,2020-06-27,26,3015268.0,42766,1440,537,5,,,,20200627,5
4390,Centro-Oeste,DF,,53,,,,2020-06-28,27,3015268.0,44905,2139,548,11,,,,20200628,5
4391,Centro-Oeste,DF,,53,,,,2020-06-29,27,3015268.0,47071,2166,559,11,,,,20200629,5
4392,Centro-Oeste,DF,,53,,,,2020-06-30,27,3015268.0,49218,2147,587,28,,,,20200630,5
4393,Centro-Oeste,DF,,53,,,,2020-07-01,27,3015268.0,50676,1458,620,33,,,,20200701,5
4394,Centro-Oeste,DF,,53,,,,2020-07-02,27,3015268.0,52281,1605,631,11,,,,20200702,5
4395,Centro-Oeste,DF,,53,,,,2020-07-03,27,3015268.0,53996,1715,643,12,,,,20200703,5
4396,Centro-Oeste,DF,,53,,,,2020-07-04,27,3015268.0,55760,1764,671,28,,,,20200704,5
4397,Centro-Oeste,DF,,53,,,,2020-07-05,28,3015268.0,57854,2094,699,28,,,,20200705,5
4398,Centro-Oeste,DF,,53,,,,2020-07-06,28,3015268.0,60383,2529,726,27,,,,20200706,5
4399,Centro-Oeste,DF,,53,,,,2020-07-07,28,3015268.0,62694,2311,767,41,,,,20200707,5
4400,Centro-Oeste,DF,,53,,,,2020-07-08,28,3015268.0,64314,1620,801,34,,,,20200708,5
4401,Centro-Oeste,DF,,53,,,,2020-07-09,28,3015268.0,65677,1363,823,22,,,,20200709,5
4402,Centro-Oeste,DF,,53,,,,2020-07-10,28,3015268.0,67297,1620,856,33,,,,20200710,5
4403,Centro-Oeste,DF,,53,,,,2020-07-11,28,3015268.0,68406,1109,871,15,,,,20200711,5
4404,Centro-Oeste,DF,,53,,,,2020-07-12,29,3015268.0,70712,2306,902,31,,,,20200712,5
4405,Centro-Oeste,DF,,53,,,,2020-07-13,29,3015268.0,72284,1572,930,28,,,,20200713,5
4406,Centro-Oeste,DF,,53,,,,2020-07-14,29,3015268.0,73654,1370,960,30,,,,20200714,5
4407,Centro-Oeste,DF,,53,,,,2020-07-15,29,3015268.0,75379,1725,1001,41,,,,20200715,5
4408,Centro-Oeste,DF,,53,,,,2020-07-16,29,3015268.0,77621,2242,1037,36,,,,20200716,5
4409,Centro-Oeste,DF,,53,,,,2020-07-17,29,3015268.0,79400,1779,1060,23,,,,20200717,5
4410,Centro-Oeste,DF,,53,,,,2020-07-18,29,3015268.0,81163,1763,1075,15,,,,20200718,5
4411,Centro-Oeste,DF,,53,,,,2020-07-19,30,3015268.0,82412,1249,1085,10,,,,20200719,5
4412,Centro-Oeste,DF,,53,,,,2020-07-20,30,3015268.0,84287,1875,1112,27,,,,20200720,5
4413,Centro-Oeste,DF,,53,,,,2020-07-21,30,3015268.0,86076,1789,1158,46,,,,20200721,5
4414,Centro-Oeste,DF,,53,,,,2020-07-22,30,3015268.0,87801,1725,1176,18,,,,20200722,5
4415,Centro-Oeste,DF,,53,,,,2020-07-23,30,3015268.0,90023,2222,1218,42,,,,20200723,5
4416,Centro-Oeste,DF,,53,,,,2020-07-24,30,3015268.0,92414,2391,1244,26,,,,20200724,5
4417,Centro-Oeste,DF,,53,,,,2020-07-25,30,3015268.0,94187,1773,1275,31,,,,20200725,5
4418,Centro-Oeste,DF,,53,,,,2020-07-26,31,3015268.0,96332,2145,1308,33,,,,20200726,5
4419,Centro-Oeste,DF,,53,,,,2020-07-27,31,3015268.0,98480,2148,1339,31,,,,20200727,5
4420,Centro-Oeste,DF,,53,,,,2020-07-28,31,3015268.0,100726,2246,1391,52,,,,20200728,5
4421,Centro-Oeste,DF,,53,,,,2020-07-29,31,3015268.0,102342,1616,1419,28,,,,20200729,5
4422,Centro-Oeste,DF,,53,,,,2020-07-30,31,3015268.0,104442,2100,1444,25,,,,20200730,5
4423,Centro-Oeste,DF,,53,,,,2020-07-31,31,3015268.0,106292,1850,1469,25,,,,20200731,5
714354,Centro-Oeste,DF,Brasília,53,530010.0,53001.0,DISTRITO FEDERAL,2020-03-27,13,3015268.0,0,0,0,0,,,1.0,20200327,5
714355,Centro-Oeste,DF,Brasília,53,530010.0,53001.0,DISTRITO FEDERAL,2020-03-28,13,3015268.0,260,260,0,0,,,1.0,20200328,5
714356,Centro-Oeste,DF,Brasília,53,530010.0,53001.0,DISTRITO FEDERAL,2020-03-29,14,3015268.0,289,29,1,1,,,1.0,20200329,5
714357,Centro-Oeste,DF,Brasília,53,530010.0,53001.0,DISTRITO FEDERAL,2020-03-30,14,3015268.0,312,23,1,0,,,1.0,20200330,5
714358,Centro-Oeste,DF,Brasília,53,530010.0,53001.0,DISTRITO FEDERAL,2020-03-31,14,3015268.0,332,20,3,2,,,1.0,20200331,5
714359,Centro-Oeste,DF,Brasília,53,530010.0,53001.0,DISTRITO FEDERAL,2020-04-01,14,3015268.0,355,23,3,0,,,1.0,20200401,5
714360,Centro-Oeste,DF,Brasília,53,530010.0,53001.0,DISTRITO FEDERAL,2020-04-02,14,3015268.0,370,15,4,1,,,1.0,20200402,5
714361,Centro-Oeste,DF,Brasília,53,530010.0,53001.0,DISTRITO FEDERAL,2020-04-03,14,3015268.0,402,32,5,1,,,1.0,20200403,5
714362,Centro-Oeste,DF,Brasília,53,530010.0,53001.0,DISTRITO FEDERAL,2020-04-04,14,3015268.0,454,52,7,2,,,1.0,20200404,5
714363,Centro-Oeste,DF,Brasília,53,530010.0,53001.0,DISTRITO FEDERAL,2020-04-05,15,3015268.0,468,14,7,0,,,1.0,20200405,5
