,regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana,Cod_Data,codregiao
4887,Centro-Oeste,DF,,53,,,,2022-01-01,52,3015268.0,519811.0,0,11108,0,,,,20220101,5
4888,Centro-Oeste,DF,,53,,,,2022-01-02,1,3015268.0,519811.0,0,11108,0,,,,20220102,5
4889,Centro-Oeste,DF,,53,,,,2022-01-03,1,3015268.0,520538.0,727,11110,2,,,,20220103,5
4890,Centro-Oeste,DF,,53,,,,2022-01-04,1,3015268.0,521140.0,602,11112,2,,,,20220104,5
4891,Centro-Oeste,DF,,53,,,,2022-01-05,1,3015268.0,521900.0,760,11115,3,,,,20220105,5
4892,Centro-Oeste,DF,,53,,,,2022-01-06,1,3015268.0,523351.0,1451,11116,1,,,,20220106,5
4893,Centro-Oeste,DF,,53,,,,2022-01-07,1,3015268.0,524916.0,1565,11119,3,,,,20220107,5
4894,Centro-Oeste,DF,,53,,,,2022-01-08,1,3015268.0,524916.0,0,11119,0,,,,20220108,5
4895,Centro-Oeste,DF,,53,,,,2022-01-09,2,3015268.0,524916.0,0,11119,0,,,,20220109,5
4896,Centro-Oeste,DF,,53,,,,2022-01-10,2,3015268.0,527691.0,2775,11120,1,,,,20220110,5
4897,Centro-Oeste,DF,,53,,,,2022-01-11,2,3015268.0,531911.0,4220,11122,2,,,,20220111,5
4898,Centro-Oeste,DF,,53,,,,2022-01-12,2,3015268.0,535724.0,3813,11123,1,,,,20220112,5
4899,Centro-Oeste,DF,,53,,,,2022-01-13,2,3015268.0,538354.0,2630,11125,2,,,,20220113,5
4900,Centro-Oeste,DF,,53,,,,2022-01-14,2,3015268.0,541252.0,2898,11126,1,,,,20220114,5
4901,Centro-Oeste,DF,,53,,,,2022-01-15,2,3015268.0,541252.0,0,11126,0,,,,20220115,5
4902,Centro-Oeste,DF,,53,,,,2022-01-16,3,3015268.0,541252.0,0,11126,0,,,,20220116,5
4903,Centro-Oeste,DF,,53,,,,2022-01-17,3,3015268.0,546900.0,5648,11128,2,,,,20220117,5
4904,Centro-Oeste,DF,,53,,,,2022-01-18,3,3015268.0,551680.0,4780,11132,4,,,,20220118,5
4905,Centro-Oeste,DF,,53,,,,2022-01-19,3,3015268.0,553988.0,2308,11135,3,,,,20220119,5
4906,Centro-Oeste,DF,,53,,,,2022-01-20,3,3015268.0,558161.0,4173,11136,1,,,,20220120,5
4907,Centro-Oeste,DF,,53,,,,2022-01-21,3,3015268.0,561457.0,3296,11139,3,,,,20220121,5
4908,Centro-Oeste,DF,,53,,,,2022-01-22,3,3015268.0,561457.0,0,11139,0,,,,20220122,5
4909,Centro-Oeste,DF,,53,,,,2022-01-23,4,3015268.0,561457.0,0,11139,0,,,,20220123,5
4910,Centro-Oeste,DF,,53,,,,2022-01-24,4,3015268.0,568433.0,6976,11143,4,,,,20220124,5
4911,Centro-Oeste,DF,,53,,,,2022-01-25,4,3015268.0,579130.0,10697,11147,4,,,,20220125,5
4912,Centro-Oeste,DF,,53,,,,2022-01-26,4,3015268.0,584615.0,5485,11152,5,,,,20220126,5
4913,Centro-Oeste,DF,,53,,,,2022-01-27,4,3015268.0,589858.0,5243,11156,4,,,,20220127,5
4914,Centro-Oeste,DF,,53,,,,2022-01-28,4,3015268.0,595257.0,5399,11164,8,,,,20220128,5
4915,Centro-Oeste,DF,,53,,,,2022-01-29,4,3015268.0,595257.0,0,11164,0,,,,20220129,5
4916,Centro-Oeste,DF,,53,,,,2022-01-30,5,3015268.0,595257.0,0,11164,0,,,,20220130,5
4917,Centro-Oeste,DF,,53,,,,2022-01-31,5,3015268.0,606765.0,11508,11174,10,,,,20220131,5
4918,Centro-Oeste,DF,,53,,,,2022-02-01,5,3015268.0,612563.0,5798,11186,12,,,,20220201,5
4919,Centro-Oeste,DF,,53,,,,2022-02-02,5,3015268.0,617945.0,5382,11197,11,,,,20220202,5
4920,Centro-Oeste,DF,,53,,,,2022-02-03,5,3015268.0,625031.0,7086,11208,11,,,,20220203,5
4921,Centro-Oeste,DF,,53,,,,2022-02-04,5,3015268.0,631233.0,6202,11217,9,,,,20220204,5
4922,Centro-Oeste,DF,,53,,,,2022-02-05,5,3015268.0,631233.0,0,11217,0,,,,20220205,5
4923,Centro-Oeste,DF,,53,,,,2022-02-06,6,3015268.0,631233.0,0,11217,0,,,,20220206,5
