,regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana,codregiao,Cod_Data
4887,Centro-Oeste,DF,,53,,,,2021-01-01,53,3015268.0,252077.0,376,4263,4,,,,5,20210101
4888,Centro-Oeste,DF,,53,,,,2021-01-02,53,3015268.0,252874.0,797,4268,5,,,,5,20210102
4889,Centro-Oeste,DF,,53,,,,2021-01-03,1,3015268.0,253355.0,481,4269,1,,,,5,20210103
4890,Centro-Oeste,DF,,53,,,,2021-01-04,1,3015268.0,254310.0,955,4289,20,,,,5,20210104
4891,Centro-Oeste,DF,,53,,,,2021-01-05,1,3015268.0,254913.0,603,4305,16,,,,5,20210105
4892,Centro-Oeste,DF,,53,,,,2021-01-06,1,3015268.0,255875.0,962,4328,23,,,,5,20210106
4893,Centro-Oeste,DF,,53,,,,2021-01-07,1,3015268.0,256682.0,807,4337,9,,,,5,20210107
4894,Centro-Oeste,DF,,53,,,,2021-01-08,1,3015268.0,257355.0,673,4345,8,,,,5,20210108
4895,Centro-Oeste,DF,,53,,,,2021-01-09,1,3015268.0,258153.0,798,4351,6,,,,5,20210109
4896,Centro-Oeste,DF,,53,,,,2021-01-10,2,3015268.0,258811.0,658,4356,5,,,,5,20210110
4897,Centro-Oeste,DF,,53,,,,2021-01-11,2,3015268.0,259797.0,986,4368,12,,,,5,20210111
4898,Centro-Oeste,DF,,53,,,,2021-01-12,2,3015268.0,260797.0,1000,4375,7,,,,5,20210112
4899,Centro-Oeste,DF,,53,,,,2021-01-13,2,3015268.0,261456.0,659,4388,13,,,,5,20210113
4900,Centro-Oeste,DF,,53,,,,2021-01-14,2,3015268.0,262222.0,766,4399,11,,,,5,20210114
4901,Centro-Oeste,DF,,53,,,,2021-01-15,2,3015268.0,262928.0,706,4406,7,,,,5,20210115
4902,Centro-Oeste,DF,,53,,,,2021-01-16,2,3015268.0,263756.0,828,4412,6,,,,5,20210116
4903,Centro-Oeste,DF,,53,,,,2021-01-17,3,3015268.0,264227.0,471,4421,9,,,,5,20210117
4904,Centro-Oeste,DF,,53,,,,2021-01-18,3,3015268.0,265274.0,1047,4427,6,,,,5,20210118
4905,Centro-Oeste,DF,,53,,,,2021-01-19,3,3015268.0,265886.0,612,4436,9,,,,5,20210119
4906,Centro-Oeste,DF,,53,,,,2021-01-20,3,3015268.0,266506.0,620,4442,6,,,,5,20210120
4907,Centro-Oeste,DF,,53,,,,2021-01-21,3,3015268.0,267340.0,834,4452,10,,,,5,20210121
4908,Centro-Oeste,DF,,53,,,,2021-01-22,3,3015268.0,268394.0,1054,4460,8,,,,5,20210122
4909,Centro-Oeste,DF,,53,,,,2021-01-23,3,3015268.0,269350.0,956,4468,8,,,,5,20210123
4910,Centro-Oeste,DF,,53,,,,2021-01-24,4,3015268.0,270171.0,821,4476,8,,,,5,20210124
4911,Centro-Oeste,DF,,53,,,,2021-01-25,4,3015268.0,271319.0,1148,4490,14,,,,5,20210125
4912,Centro-Oeste,DF,,53,,,,2021-01-26,4,3015268.0,272375.0,1056,4505,15,,,,5,20210126
4913,Centro-Oeste,DF,,53,,,,2021-01-27,4,3015268.0,273427.0,1052,4508,3,,,,5,20210127
4914,Centro-Oeste,DF,,53,,,,2021-01-28,4,3015268.0,274601.0,1174,4519,11,,,,5,20210128
4915,Centro-Oeste,DF,,53,,,,2021-01-29,4,3015268.0,275688.0,1087,4533,14,,,,5,20210129
4916,Centro-Oeste,DF,,53,,,,2021-01-30,4,3015268.0,276572.0,884,4545,12,,,,5,20210130
4917,Centro-Oeste,DF,,53,,,,2021-01-31,5,3015268.0,277110.0,538,4554,9,,,,5,20210131
4918,Centro-Oeste,DF,,53,,,,2021-02-01,5,3015268.0,277907.0,797,4564,10,,,,5,20210201
4919,Centro-Oeste,DF,,53,,,,2021-02-02,5,3015268.0,278316.0,409,4573,9,,,,5,20210202
