;Cod_Data;Count;Cod_munincipio;Cod_Estado;Cod_regiao
0;20200107;1;530010.0;53;5
1;20200129;1;530010.0;53;5
2;20200226;1;530010.0;53;5
3;20200806;1;530010.0;53;5
4;20200813;1;530010.0;53;5
5;20200819;1;530010.0;53;5
6;20200821;1;530010.0;53;5
7;20200825;3;530010.0;53;5
8;20200827;1;530010.0;53;5
9;20200828;4;530010.0;53;5
10;20200831;2;530010.0;53;5
11;20200901;3;530010.0;53;5
12;20200902;3;530010.0;53;5
13;20200903;5;530010.0;53;5
14;20200904;6;530010.0;53;5
15;20200905;2;530010.0;53;5
16;20200908;8;530010.0;53;5
17;20200909;4;530010.0;53;5
18;20200910;5;530010.0;53;5
19;20200911;5;530010.0;53;5
20;20200912;3;530010.0;53;5
21;20200914;5;530010.0;53;5
22;20200915;4;530010.0;53;5
23;20200916;6;530010.0;53;5
24;20200917;8;530010.0;53;5
25;20200918;4;530010.0;53;5
26;20200919;1;530010.0;53;5
27;20200921;4;530010.0;53;5
28;20200922;6;530010.0;53;5
29;20200923;5;530010.0;53;5
30;20200924;10;530010.0;53;5
31;20200925;6;530010.0;53;5
32;20200926;6;530010.0;53;5
33;20200928;9;530010.0;53;5
34;20200929;3;530010.0;53;5
35;20200930;6;530010.0;53;5
36;20201001;3;530010.0;53;5
37;20201002;3;530010.0;53;5
38;20201003;3;530010.0;53;5
39;20201005;4;530010.0;53;5
40;20201006;6;530010.0;53;5
41;20201007;3;530010.0;53;5
42;20201008;6;530010.0;53;5
43;20201009;4;530010.0;53;5
44;20201013;2;530010.0;53;5
45;20201014;4;530010.0;53;5
46;20201015;7;530010.0;53;5
47;20201016;8;530010.0;53;5
48;20201017;4;530010.0;53;5
49;20201019;2;530010.0;53;5
50;20201020;9;530010.0;53;5
51;20201021;2;530010.0;53;5
52;20201022;7;530010.0;53;5
53;20201023;3;530010.0;53;5
54;20201026;2;530010.0;53;5
55;20201027;1;530010.0;53;5
56;20201028;1;530010.0;53;5
57;20201029;2;530010.0;53;5
58;20201030;3;530010.0;53;5
59;20201103;7;530010.0;53;5
60;20201104;2;530010.0;53;5
61;20201105;5;530010.0;53;5
62;20201106;2;530010.0;53;5
63;20201109;4;530010.0;53;5
64;20201112;3;530010.0;53;5
65;20201113;4;530010.0;53;5
66;20201114;5;530010.0;53;5
67;20201116;12;530010.0;53;5
68;20201117;7;530010.0;53;5
69;20201118;7;530010.0;53;5
70;20201119;7;530010.0;53;5
71;20201120;8;530010.0;53;5
72;20201121;3;530010.0;53;5
73;20201123;7;530010.0;53;5
74;20201124;4;530010.0;53;5
75;20201125;2;530010.0;53;5
76;20201126;6;530010.0;53;5
77;20201127;2;530010.0;53;5
78;20201201;4;530010.0;53;5
79;20201202;4;530010.0;53;5
80;20201203;3;530010.0;53;5
81;20201204;3;530010.0;53;5
82;20201207;3;530010.0;53;5
83;20201208;5;530010.0;53;5
84;20201209;12;530010.0;53;5
85;20201210;1;530010.0;53;5
86;20201211;3;530010.0;53;5
87;20201214;1;530010.0;53;5
88;20201215;2;530010.0;53;5
89;20201216;1;530010.0;53;5
90;20201217;2;530010.0;53;5
91;20201218;2;530010.0;53;5
92;20201221;2;530010.0;53;5
93;20201222;2;530010.0;53;5
94;20201228;4;530010.0;53;5
95;20201229;4;530010.0;53;5
96;20210105;1;530010.0;53;5
97;20210110;1;530010.0;53;5
98;20210117;2;530010.0;53;5
99;20210118;2;530010.0;53;5
100;20210119;881;530010.0;53;5
101;20210120;1988;530010.0;53;5
102;20210121;1515;530010.0;53;5
103;20210122;1243;530010.0;53;5
104;20210123;7;530010.0;53;5
105;20210124;2;530010.0;53;5
106;20210125;1081;530010.0;53;5
107;20210126;1947;530010.0;53;5
108;20210127;2604;530010.0;53;5
109;20210128;2207;530010.0;53;5
110;20210129;2403;530010.0;53;5
