;Cod_Data;Count;Cod_munincipio;Cod_Estado;Cod_regiao
0;20210521;1;530010.0;53;5
1;20200805;2;530010.0;53;5
2;20200813;1;530010.0;53;5
3;20200820;1;530010.0;53;5
4;20200821;1;530010.0;53;5
5;20200825;2;530010.0;53;5
6;20200826;4;530010.0;53;5
7;20200827;3;530010.0;53;5
8;20200828;2;530010.0;53;5
9;20200831;1;530010.0;53;5
10;20200901;2;530010.0;53;5
11;20200902;2;530010.0;53;5
12;20200903;5;530010.0;53;5
13;20200904;2;530010.0;53;5
14;20200905;2;530010.0;53;5
15;20200908;3;530010.0;53;5
16;20200909;4;530010.0;53;5
17;20200910;2;530010.0;53;5
18;20200911;4;530010.0;53;5
19;20200912;2;530010.0;53;5
20;20200914;6;530010.0;53;5
21;20200915;4;530010.0;53;5
22;20200916;1;530010.0;53;5
23;20200917;2;530010.0;53;5
24;20200918;3;530010.0;53;5
25;20200919;4;530010.0;53;5
26;20200921;3;530010.0;53;5
27;20200922;10;530010.0;53;5
28;20200923;4;530010.0;53;5
29;20200924;3;530010.0;53;5
30;20200925;7;530010.0;53;5
31;20200926;2;530010.0;53;5
32;20200928;7;530010.0;53;5
33;20200929;4;530010.0;53;5
34;20200930;3;530010.0;53;5
35;20201001;8;530010.0;53;5
36;20201002;4;530010.0;53;5
37;20201003;3;530010.0;53;5
38;20201005;8;530010.0;53;5
39;20201006;5;530010.0;53;5
40;20201007;5;530010.0;53;5
41;20201008;4;530010.0;53;5
42;20201009;3;530010.0;53;5
43;20201013;2;530010.0;53;5
44;20201015;6;530010.0;53;5
45;20201016;6;530010.0;53;5
46;20201017;3;530010.0;53;5
47;20201019;5;530010.0;53;5
48;20201020;1;530010.0;53;5
49;20201021;6;530010.0;53;5
50;20201022;2;530010.0;53;5
51;20201023;7;530010.0;53;5
52;20201026;1;530010.0;53;5
53;20201027;1;530010.0;53;5
54;20201028;3;530010.0;53;5
55;20201029;4;530010.0;53;5
56;20201030;4;530010.0;53;5
57;20201103;3;530010.0;53;5
58;20201105;4;530010.0;53;5
59;20201106;1;530010.0;53;5
60;20201109;1;530010.0;53;5
61;20201112;3;530010.0;53;5
62;20201113;5;530010.0;53;5
63;20201116;6;530010.0;53;5
64;20201117;2;530010.0;53;5
65;20201118;8;530010.0;53;5
66;20201119;6;530010.0;53;5
67;20201120;8;530010.0;53;5
68;20201121;3;530010.0;53;5
69;20201123;6;530010.0;53;5
70;20201124;7;530010.0;53;5
71;20201125;5;530010.0;53;5
72;20201126;4;530010.0;53;5
73;20201127;4;530010.0;53;5
74;20201201;2;530010.0;53;5
75;20201202;3;530010.0;53;5
76;20201203;4;530010.0;53;5
77;20201204;5;530010.0;53;5
78;20201207;3;530010.0;53;5
79;20201208;6;530010.0;53;5
80;20201209;10;530010.0;53;5
81;20201210;2;530010.0;53;5
82;20201211;5;530010.0;53;5
83;20201215;1;530010.0;53;5
84;20201216;3;530010.0;53;5
85;20201217;3;530010.0;53;5
86;20201221;2;530010.0;53;5
87;20201222;2;530010.0;53;5
88;20201228;5;530010.0;53;5
89;20201229;2;530010.0;53;5
90;20210104;1;530010.0;53;5
91;20210105;2;530010.0;53;5
92;20210117;4;530010.0;53;5
93;20210118;7;530010.0;53;5
94;20210119;926;530010.0;53;5
95;20210120;1978;530010.0;53;5
96;20210121;1453;530010.0;53;5
97;20210122;1150;530010.0;53;5
98;20210123;6;530010.0;53;5
99;20210124;2;530010.0;53;5
100;20210125;1049;530010.0;53;5
101;20210126;2026;530010.0;53;5
102;20210127;2672;530010.0;53;5
103;20210128;2147;530010.0;53;5
104;20210129;2439;530010.0;53;5
105;20210130;47;530010.0;53;5
106;20210131;10;530010.0;53;5
107;20210201;4807;530010.0;53;5
108;20210202;6046;530010.0;53;5
109;20210203;2654;530010.0;53;5
110;20210204;2057;530010.0;53;5
111;20210205;1479;530010.0;53;5
112;20210206;2;530010.0;53;5
113;20210207;4;530010.0;53;5
114;20210208;829;530010.0;53;5
115;20210209;1860;530010.0;53;5
116;20210210;2042;530010.0;53;5
117;20210211;1764;530010.0;53;5
118;20210212;1493;530010.0;53;5
119;20210213;21;530010.0;53;5
120;20210214;17;530010.0;53;5
121;20210215;1;530010.0;53;5
122;20210216;12;530010.0;53;5
123;20210217;569;530010.0;53;5
124;20210218;2020;530010.0;53;5
125;20210219;1851;530010.0;53;5
126;20210220;10;530010.0;53;5
127;20210221;13;530010.0;53;5
128;20210222;1667;530010.0;53;5
129;20210223;1756;530010.0;53;5
130;20210224;1785;530010.0;53;5
131;20210225;1746;530010.0;53;5
132;20210226;4753;530010.0;53;5
133;20210227;6;530010.0;53;5
134;20210228;5;530010.0;53;5
135;20210301;4436;530010.0;53;5
136;20210302;2366;530010.0;53;5
137;20210303;1178;530010.0;53;5
138;20210304;2522;530010.0;53;5
139;20210305;2245;530010.0;53;5
140;20210306;200;530010.0;53;5
141;20210307;1;530010.0;53;5
142;20210308;894;530010.0;53;5
143;20210309;1122;530010.0;53;5
144;20210310;852;530010.0;53;5
145;20210311;2867;530010.0;53;5
146;20210312;1351;530010.0;53;5
147;20210313;88;530010.0;53;5
148;20210314;21;530010.0;53;5
